Champion,Role,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg Ban Turn,Game Time,CS per min,Damage per min,Gold per min,CSD@15,GD@15,XPD@15
Jinx,ADC,2026,1043,81,1066,960,53%,4.2,4.6,31:45:00,9.6,549,449,1.5,69,-77
Zeri,ADC,599,1951,68,349,250,58%,5,3.7,31:34:00,9.4,568,452,-0.3,8,38
Lee Sin,Jungle,1335,1199,67,688,647,52%,3.4,4.3,32:00:00,5.4,277,341,-2.6,3,-42
Xin Zhao,Jungle,1440,981,64,718,722,50%,2.8,5,32:15:00,5.4,304,330,-1.9,-92,-72
Gwen,Top,903,1464,63,467,436,52%,2.8,5,31:50:00,8.1,472,398,0.6,-43,7
Aphelios,ADC,1714,546,60,842,872,49%,3.4,4.8,32:06:00,9.1,508,433,0.3,95,27
Nautilus,Support,1526,693,59,743,783,49%,2.3,7.2,31:40:00,1.1,140,232,2.2,-45,-36
Ryze,Mid,902,1122,54,409,493,45%,3.5,4.7,31:29:00,9,406,406,3.1,67,7
Leona,Support,1342,550,50,685,657,51%,2.4,7.6,32:10:00,1.2,109,233,2.4,-39,-68
LeBlanc,Mid,531,1275,48,251,280,47%,4,5.6,32:07:00,7.8,521,382,3.4,126,183
Caitlyn,ADC,317,1421,46,165,152,52%,4,3.7,32:56:00,9.1,515,440,7.6,447,61
Jayce,Top,683,1036,46,351,332,51%,2.6,6.6,32:03:00,8.5,658,417,10.3,321,-29
Thresh,Support,729,928,44,381,348,52%,3.1,5.3,32:27:00,1.1,106,234,2.7,-14,-43
Hecarim,Jungle,736,896,43,379,357,51%,3.5,4.5,31:27:00,5.8,287,347,4.6,91,144
Twisted Fate,Mid,331,1271,42,186,145,56%,4.5,3.8,31:55:00,7.7,402,404,-9,239,-170
Viego,Jungle,1096,488,42,535,561,49%,3.3,5.5,32:09:00,5.7,282,349,1.7,72,45
Akali,Mid,509,1034,41,276,233,54%,3.1,5.1,32:39:00,7.6,484,386,-4.5,-121,89
Ahri,Mid,820,712,41,439,381,54%,4.6,5.1,31:41:00,8.3,486,399,1,103,106
Viktor,Mid,930,583,40,466,464,50%,3.6,6.5,32:35:00,8.8,643,406,2.7,-67,74
Tryndamere,Top,399,945,36,205,194,51%,2.9,5.7,31:45:00,8.9,389,432,4.2,303,169
Corki,Mid,544,789,35,290,254,53%,4.1,4.8,33:13:00,9.2,716,441,1.2,120,-40
Karma,Support,469,836,35,204,265,43%,3.3,4.4,32:26:00,1.9,253,255,-12.3,-113,-162
Renekton,Top,517,785,34,233,284,45%,2.4,5.1,31:42:00,8.1,360,384,8.2,307,157
Graves,Top,822,475,34,387,435,47%,2.6,5.7,31:58:00,8.8,497,413,6,177,115
Camille,Top,515,777,34,276,239,54%,2.5,7.3,31:25:00,7.5,426,387,-4.7,-131,-30
Jarvan IV,Jungle,613,576,31,305,308,50%,3.4,6,32:02:00,5,247,325,-4.8,-151,-196
Volibear,Jungle,652,536,31,346,306,53%,3.2,4.8,31:47:00,5,273,324,-5.8,-137,-200
Gnar,Top,772,406,31,389,383,50%,2.5,7.4,31:50:00,8,465,391,3.6,150,106
Rakan,Support,690,461,30,362,328,52%,3.8,7.6,31:58:00,1.2,141,241,2.2,28,-35
Diana,Jungle,305,800,29,146,159,48%,2.8,3.9,31:06:00,6.7,398,374,13.9,354,487
Vex,Mid,461,644,29,235,226,51%,3.4,6.8,31:53:00,7.7,480,376,-5.7,-159,-197
Syndra,Mid,451,611,28,200,251,44%,2.9,7,32:12:00,8.3,511,385,5.1,60,-29
Tahm Kench,Support,599,462,28,308,291,51%,2.8,6.3,31:50:00,1.4,161,238,2.7,-41,61
Jhin,ADC,714,185,24,336,378,47%,5.2,6.5,32:32:00,8.7,466,412,-4,-291,-19
Orianna,Mid,508,272,21,251,257,49%,4.4,7.7,32:04:00,8.8,464,400,5.1,-11,62
Xayah,ADC,481,272,20,243,238,51%,4,5.6,32:06:00,9.2,600,429,0.6,4,153
Gragas,Top,539,200,20,238,301,44%,2.5,7.5,32:31:00,6.6,380,328,-13.8,-556,-171
Lulu,Support,324,375,19,160,164,49%,4.4,7.1,31:38:00,0.9,108,238,-6.1,-60,-30
Ornn,Top,407,244,17,204,203,50%,3.2,7.3,31:55:00,6.8,353,335,-11.7,-483,-143
Yuumi,Support,215,387,16,98,117,46%,5.3,6.1,31:22:00,0.3,267,233,-13.2,-230,65
Trundle,Jungle,333,221,15,166,167,50%,3.3,5.6,32:37:00,4.8,241,318,-10,-312,-391
Irelia,Top,153,374,14,84,69,55%,2.1,6.3,31:35:00,8.8,421,420,11.6,201,53
Gangplank,Top,218,305,14,124,94,57%,3.3,7.3,32:40:00,8.5,623,444,4.9,370,-5
Ezreal,ADC,395,127,14,166,229,42%,3.2,8,32:13:00,8.9,642,416,-1.2,-196,-46
Sylas,Mid,268,252,14,142,126,53%,3.2,7.6,31:26:00,7.7,451,389,-5.8,-211,-76
Veigar,Mid,204,309,14,100,104,49%,4,6.2,31:58:00,8.4,451,403,-3,-63,-69
